Time(hh:mm:ss),Elapsed Time,Voltage1,Voltage2,Alarm,,Comment: OMEGA OM-DAQPRO-5300,Serial number: 7014521
"06-Jun-16,19:03:43",281,-0.01,-0.013,,,,
"06-Jun-16,19:03:44",282,-0.007,-0.017,,,,
"06-Jun-16,19:03:45",283,-0.006,-0.017,,,,
"06-Jun-16,19:03:46",284,-0.01,-0.023,,,,
"06-Jun-16,19:03:47",285,-0.01,-0.02,,,,
"06-Jun-16,19:03:48",286,-0.007,-0.02,,,,
"06-Jun-16,19:03:49",287,-0.01,-0.021,,,,
"06-Jun-16,19:03:50",288,-0.008,-0.016,,,,
"06-Jun-16,19:03:51",289,-0.01,-0.017,,,,
"06-Jun-16,19:03:52",290,-0.01,-0.016,,,,
"06-Jun-16,19:03:53",291,-0.013,-0.023,,,,
"06-Jun-16,19:03:54",292,-0.01,-0.021,,,,
"06-Jun-16,19:03:55",293,-0.008,-0.02,,,,
"06-Jun-16,19:03:56",294,-0.01,-0.013,,,,
"06-Jun-16,19:03:57",295,-0.008,0.006,,,,
"06-Jun-16,19:03:58",296,-0.01,-0.01,,,,
"06-Jun-16,19:03:59",297,-0.006,-0.01,,,,
"06-Jun-16,19:04:00",298,-0.004,-0.013,,,,
"06-Jun-16,19:04:01",299,-0.007,-0.017,,,,
"06-Jun-16,19:04:02",300,-0.004,-0.014,,,,
"06-Jun-16,19:04:03",301,-0.003,-0.014,,,,
"06-Jun-16,19:04:04",302,-0.004,-0.017,,,,
"06-Jun-16,19:04:05",303,-0.004,-0.021,,,,
"06-Jun-16,19:04:06",304,-0.006,-0.018,,,,
"06-Jun-16,19:04:07",305,-0.007,-0.018,,,,
"06-Jun-16,19:04:08",306,-0.01,-0.021,,,,
"06-Jun-16,19:04:09",307,-0.008,-0.017,,,,
"06-Jun-16,19:04:10",308,-0.014,-0.018,,,,
"06-Jun-16,19:04:11",309,-0.01,-0.018,,,,
"06-Jun-16,19:04:12",310,-0.006,-0.013,,,,
"06-Jun-16,19:04:13",311,-0.013,-0.014,,,,
"06-Jun-16,19:04:14",312,-0.017,-0.014,,,,
"06-Jun-16,19:04:15",313,-0.006,-0.014,,,,
"06-Jun-16,19:04:16",314,-0.008,-0.011,,,,
"06-Jun-16,19:04:17",315,-0.01,-0.007,,,,
"06-Jun-16,19:04:18",316,-0.004,-0.013,,,,
"06-Jun-16,19:04:19",317,-0.008,-0.011,,,,
"06-Jun-16,19:04:20",318,-0.007,-0.018,,,,
"06-Jun-16,19:04:21",319,-0.003,-0.018,,,,
"06-Jun-16,19:04:22",320,-0.007,-0.014,,,,
"06-Jun-16,19:04:23",321,-0.01,-0.016,,,,
"06-Jun-16,19:04:24",322,-0.008,-0.02,,,,
"06-Jun-16,19:04:25",323,-0.014,-0.016,,,,
"06-Jun-16,19:04:26",324,-0.014,-0.016,,,,
"06-Jun-16,19:04:27",325,-0.011,-0.017,,,,
"06-Jun-16,19:04:28",326,-0.011,-0.014,,,,
"06-Jun-16,19:04:29",327,-0.014,-0.017,,,,
"06-Jun-16,19:04:30",328,-0.011,-0.011,,,,
"06-Jun-16,19:04:31",329,-0.01,-0.013,,,,
"06-Jun-16,19:04:32",330,-0.013,-0.011,,,,
"06-Jun-16,19:04:33",331,-0.014,-0.008,,,,
"06-Jun-16,19:04:34",332,-0.01,-0.011,,,,
"06-Jun-16,19:04:35",333,-0.014,-0.014,,,,
"06-Jun-16,19:04:36",334,-0.016,-0.013,,,,
"06-Jun-16,19:04:37",335,-0.013,-0.014,,,,
