Time,GPM,Total Gallons
57:49.6,-0.030442715,0.52860105
57:49.7,0.0443739,0.52860224
57:49.7,0.076438166,0.52861226
57:49.7,0.1025646,0.52862722
57:49.7,0.064562507,0.5286411
57:49.7,0.061593596,0.52865165
57:49.7,0.017059898,0.52865821
57:49.7,0.025372855,0.52866173
57:49.7,0.003402897,0.52866411
57:49.7,-0.022129757,0.52866256
57:49.7,0.0443739,0.52866441
57:49.8,0.064562507,0.52867347
57:49.8,0.046155248,0.52868271
57:49.8,0.028935552,0.52868897
57:49.8,0.037248507,0.52869451
57:49.8,0.005184245,0.52869803
57:49.8,0.01527855,0.52869976
57:49.8,0.049717944,0.52870518
57:49.8,0.052686859,0.5287137
57:49.8,-0.008472756,0.5287174
57:49.8,-0.006691408,0.52871609
57:49.8,0.001621549,0.52871567
57:49.9,-0.035786759,0.52871287
57:49.9,0.095439211,0.52871782
57:49.9,0.097220555,0.52873385
57:49.9,0.10909621,0.52875108
