Time,HF from Skin Temp Vic 1,HF from Skin Temp Vic 3,"Vic 1, surface necrosis","Vic 3, surface necrosis","Vic 1, 2 mm necrosis","Vic 3, 2 mm Necrosis","Vic 1, 10 mm necrosis","Vic 3, 10 mm necrosis",Vic 1 necrosis depth,Vic 3 necrosis depth
14.74999999999995,-2450,200,1.01,1.01,1.01,0.04104401737647731,0.0003770915631318984,0.00014084660505562154,5.5,0.7000000000000001
14.783333333333283,-2400,200,1.01,1.01,1.01,0.04269632936733237,0.0003842765130083298,0.0001413865974996692,5.5,0.7000000000000001
14.816666666666617,-4850,150,1.01,1.01,1.01,0.04434013852823618,0.0003916854265249398,0.0001419311115785984,5.6000000000000005,0.8
14.84999999999995,-3250,100,1.01,1.01,1.01,0.04596276645684336,0.00039932703060795865,0.0001424802097982875,5.6000000000000005,0.8
14.883333333333283,-4600,100,1.01,1.01,1.01,0.04755399422202984,0.00040721042187517675,0.00014303395528410243,5.6000000000000005,0.8
14.916666666666616,-4350,200,1.01,1.01,1.01,0.04910575493171504,0.00041534508072366155,0.00014359241178761595,5.7,0.8
14.94999999999995,-5550,0,1.01,1.01,1.01,0.05061253303565146,0.0004237408856677187,0.00014415564369131683,5.7,0.8
14.983333333333283,-3950,0,1.01,1.01,1.01,0.052070158992557986,0.00043240812784488763,0.00014472371601054329,5.7,0.8
15.016666666666616,-3950,0,1.01,1.01,1.01,0.0534750744003385,0.00044135752557712205,0.00014529669439174696,5.7,0.8
15.04999999999995,-3150,0,1.01,1.01,1.01,0.05482440252779583,0.00045060023895546376,0.00014587464510608438,5.800000000000001,0.8
15.083333333333282,-2700,0,1.01,1.01,1.01,0.056116194169958535,0.00046014788440824694,0.00014645763503725822,5.800000000000001,0.8
15.116666666666616,-2600,0,1.01,1.01,1.01,0.057349540063001234,0.0004700125491163233,0.00014704573166251118,5.800000000000001,0.8
15.149999999999949,-2300,0,1.01,1.01,1.01,0.05852450733565374,0.0004802068051417667,0.00014763900302571802,5.800000000000001,0.8
15.183333333333282,-1750,50,1.01,1.01,1.01,0.05964197342293585,0.0004907437233044298,0.0001482375177016289,5.800000000000001,0.8
15.216666666666615,-1900,50,1.01,1.01,1.01,0.06070362753647513,0.0005016368867830167,0.00014884134475048324,5.9,0.8
